evidence_link_id,scenario_id,country_slug,evidence_type,evidence_id,title,relation,source_name,source_url,source_reliability,evidence_status,enters_score
"energy_price_shock_event_hu-2026-06-24-v4-summit","energy_price_shock","hungary","event","hu-2026-06-24-v4-summit","匈牙利主办格德勒 V4 峰会，四国同意重启定期磋商","contextual","匈牙利政府","https://kormany.hu/en/news/v4-csucs-godollon-orszagainkat-sokkal-tobb-koti-ossze-mint-ami-elvalasztja","A","coded","false"
"energy_price_shock_event_hu-2022-08-12-catl-debrecen","energy_price_shock","hungary","event","hu-2022-08-12-catl-debrecen","CATL 公布德布勒森电池工厂投资计划","contextual","CATL","https://www.catl.com/en/news/983.html","A","coded","false"
"energy_price_shock_project_hu-catl-debrecen","energy_price_shock","hungary","project","hu-catl-debrecen","CATL 德布勒森电池工厂","contextual","企业公告","https://www.catl.com/en/news/983.html","B","可量化","false"
"energy_price_shock_project_hu-byd-szeged","energy_price_shock","hungary","project","hu-byd-szeged","BYD 塞格德新能源汽车工厂","contextual","主流通讯社","https://apnews.com/article/4c4754f43703d061e1dc02516be0c14a","B","部分可量化","false"
"germany_demand_slowdown_event_hu-2022-08-12-catl-debrecen","germany_demand_slowdown","hungary","event","hu-2022-08-12-catl-debrecen","CATL 公布德布勒森电池工厂投资计划","contextual","CATL","https://www.catl.com/en/news/983.html","A","coded","false"
"germany_demand_slowdown_project_hu-catl-debrecen","germany_demand_slowdown","hungary","project","hu-catl-debrecen","CATL 德布勒森电池工厂","contextual","企业公告","https://www.catl.com/en/news/983.html","B","可量化","false"
"germany_demand_slowdown_project_hu-byd-szeged","germany_demand_slowdown","hungary","project","hu-byd-szeged","BYD 塞格德新能源汽车工厂","contextual","主流通讯社","https://apnews.com/article/4c4754f43703d061e1dc02516be0c14a","B","部分可量化","false"
"eu_funds_delay_event_cz-2023-10-16-repowereu-plan","eu_funds_delay","czechia","event","cz-2023-10-16-repowereu-plan","捷克修订复苏计划纳入 REPowerEU 能源改革与投资","contextual","European Commission","https://commission.europa.eu/business-economy-euro/economic-recovery/recovery-and-resilience-facility/country-pages/czechias-recovery-and-resilience-plan_en","A","coded","false"
"energy_price_shock_event_cz-2026-06-24-v4-summit","energy_price_shock","czechia","event","cz-2026-06-24-v4-summit","捷克总理参加格德勒 V4 峰会，合作议题覆盖竞争力与汽车产业","contextual","匈牙利政府","https://kormany.hu/en/news/v4-csucs-godollon-orszagainkat-sokkal-tobb-koti-ossze-mint-ami-elvalasztja","A","coded","false"
"energy_price_shock_event_cz-2023-10-16-repowereu-plan","energy_price_shock","czechia","event","cz-2023-10-16-repowereu-plan","捷克修订复苏计划纳入 REPowerEU 能源改革与投资","contextual","European Commission","https://commission.europa.eu/business-economy-euro/economic-recovery/recovery-and-resilience-facility/country-pages/czechias-recovery-and-resilience-plan_en","A","coded","false"
"energy_price_shock_project_cz-changhong-nymburk","energy_price_shock","czechia","project","cz-changhong-nymburk","长虹欧洲 Nymburk 电子制造基地","contextual","企业公告","https://www.changhong.com/","C","可量化","false"
"germany_demand_slowdown_event_cz-2026-06-24-v4-summit","germany_demand_slowdown","czechia","event","cz-2026-06-24-v4-summit","捷克总理参加格德勒 V4 峰会，合作议题覆盖竞争力与汽车产业","contextual","匈牙利政府","https://kormany.hu/en/news/v4-csucs-godollon-orszagainkat-sokkal-tobb-koti-ossze-mint-ami-elvalasztja","A","coded","false"
"germany_demand_slowdown_event_cz-2023-10-16-repowereu-plan","germany_demand_slowdown","czechia","event","cz-2023-10-16-repowereu-plan","捷克修订复苏计划纳入 REPowerEU 能源改革与投资","contextual","European Commission","https://commission.europa.eu/business-economy-euro/economic-recovery/recovery-and-resilience-facility/country-pages/czechias-recovery-and-resilience-plan_en","A","coded","false"
"germany_demand_slowdown_project_cz-changhong-nymburk","germany_demand_slowdown","czechia","project","cz-changhong-nymburk","长虹欧洲 Nymburk 电子制造基地","contextual","企业公告","https://www.changhong.com/","C","可量化","false"
"eu_funds_delay_event_sk-2024-10-22-rrf-fourth-instalment","eu_funds_delay","slovakia","event","sk-2024-10-22-rrf-fourth-instalment","欧盟委员会授权向斯洛伐克拨付第四笔复苏基金支持","direct","European Commission","https://commission.europa.eu/document/download/f8d60e98-0929-43ae-af64-fe3bd52fa3c2_en?filename=C_2024_7457_1_EN_ACT_part1_v3.pdf","A","coded","false"
"energy_price_shock_event_sk-2026-06-24-v4-presidency","energy_price_shock","slovakia","event","sk-2026-06-24-v4-presidency","斯洛伐克将接任 V4 轮值主席，四国重启高层合作","contextual","匈牙利政府","https://kormany.hu/en/news/v4-csucs-godollon-orszagainkat-sokkal-tobb-koti-ossze-mint-ami-elvalasztja","A","coded","false"
"energy_price_shock_event_sk-2023-11-22-gotion-inobat-surany","energy_price_shock","slovakia","event","sk-2023-11-22-gotion-inobat-surany","Gotion InoBat Batteries 与斯洛伐克政府签署苏拉尼工厂谅解备忘录","contextual","InoBat","https://www.inobat.eu/newsroom/gotion-inobat-batteries-gib-has-signed-a-memorandum-of-understanding-with-the-government-of-the-slovak-republic-to-support-the-construction-of-a-battery-gigafactory/","A","coded","false"
"energy_price_shock_project_sk-gotion-inobat-surany","energy_price_shock","slovakia","project","sk-gotion-inobat-surany","Gotion/InoBat 苏拉尼电池超级工厂","contextual","官方政府部门","https://www.economy.gov.sk/en/press/the-second-highest-investment-in-the-history-of-country-is-coming-to-slovakia-it-is-worth-eur-12-billion-and-it-focuses-on-battery-production","A","可量化","false"
"germany_demand_slowdown_event_sk-2023-11-22-gotion-inobat-surany","germany_demand_slowdown","slovakia","event","sk-2023-11-22-gotion-inobat-surany","Gotion InoBat Batteries 与斯洛伐克政府签署苏拉尼工厂谅解备忘录","contextual","InoBat","https://www.inobat.eu/newsroom/gotion-inobat-batteries-gib-has-signed-a-memorandum-of-understanding-with-the-government-of-the-slovak-republic-to-support-the-construction-of-a-battery-gigafactory/","A","coded","false"
"germany_demand_slowdown_project_sk-gotion-inobat-surany","germany_demand_slowdown","slovakia","project","sk-gotion-inobat-surany","Gotion/InoBat 苏拉尼电池超级工厂","contextual","官方政府部门","https://www.economy.gov.sk/en/press/the-second-highest-investment-in-the-history-of-country-is-coming-to-slovakia-it-is-worth-eur-12-billion-and-it-focuses-on-battery-production","A","可量化","false"
"energy_price_shock_project_de-catl-thuringia-battery","energy_price_shock","germany","project","de-catl-thuringia-battery","CATL 图林根电池工厂","contextual","企业公告","https://www.catl.com/en/enterpriseinfoEnglish/","B","部分可量化","false"
"germany_demand_slowdown_project_de-catl-thuringia-battery","germany_demand_slowdown","germany","project","de-catl-thuringia-battery","CATL 图林根电池工厂","contextual","企业公告","https://www.catl.com/en/enterpriseinfoEnglish/","B","部分可量化","false"
"energy_price_shock_project_ro-cgn-cernavoda-terminated","energy_price_shock","romania","project","ro-cgn-cernavoda-terminated","CGN 参与 Cernavoda 3/4 号机组谈判","contextual","官方政府部门","https://nuclearelectrica.ro/snn/en/about-us/history/","A","部分可量化","false"
"energy_price_shock_project_si-hisense-gorenje-acquisition","energy_price_shock","slovenia","project","si-hisense-gorenje-acquisition","Hisense 收购 Gorenje","contextual","主流通讯社","https://seonet.ljse.si/default_en.aspx?doc=LATEST_PUBLIC_ANNOUNCEMENTS&doc_id=67459&language=en","B","部分可量化","false"
"germany_demand_slowdown_project_si-hisense-gorenje-acquisition","germany_demand_slowdown","slovenia","project","si-hisense-gorenje-acquisition","Hisense 收购 Gorenje","contextual","主流通讯社","https://seonet.ljse.si/default_en.aspx?doc=LATEST_PUBLIC_ANNOUNCEMENTS&doc_id=67459&language=en","B","部分可量化","false"
"energy_price_shock_project_rs-linglong-zrenjanin-tire","energy_price_shock","serbia","project","rs-linglong-zrenjanin-tire","Linglong Zrenjanin 轮胎工厂","contextual","官方政府部门","https://www.srbija.gov.rs/vest/en/230956/serial-production-of-tyres-begins-at-linglong-factory-in-zrenjanin.php","A","可量化","false"
"energy_price_shock_project_rs-zijin-rtb-bor","energy_price_shock","serbia","project","rs-zijin-rtb-bor","Zijin 对 RTB Bor 战略投资","contextual","官方政府部门","https://privreda.gov.rs/lat/aktuelno/vesti-i-saopstenja/potpisan-zapisnik-kinezi-preuzeli-upravljanje-rtb-om-bor","A","可量化","false"
"germany_demand_slowdown_project_rs-linglong-zrenjanin-tire","germany_demand_slowdown","serbia","project","rs-linglong-zrenjanin-tire","Linglong Zrenjanin 轮胎工厂","contextual","官方政府部门","https://www.srbija.gov.rs/vest/en/230956/serial-production-of-tyres-begins-at-linglong-factory-in-zrenjanin.php","A","可量化","false"
"germany_demand_slowdown_project_rs-zijin-rtb-bor","germany_demand_slowdown","serbia","project","rs-zijin-rtb-bor","Zijin 对 RTB Bor 战略投资","contextual","官方政府部门","https://privreda.gov.rs/lat/aktuelno/vesti-i-saopstenja/potpisan-zapisnik-kinezi-preuzeli-upravljanje-rtb-om-bor","A","可量化","false"
"energy_price_shock_project_at-avic-facc-majority-stake","energy_price_shock","austria","project","at-avic-facc-majority-stake","AVIC Cabin Systems 对 FACC 控股","contextual","主流通讯社","https://www.facc.com/en/wp-content/uploads/sites/2/2026/03/annualreport-facc-2025-en.pdf","B","部分可量化","false"
"germany_demand_slowdown_project_at-avic-facc-majority-stake","germany_demand_slowdown","austria","project","at-avic-facc-majority-stake","AVIC Cabin Systems 对 FACC 控股","contextual","主流通讯社","https://www.facc.com/en/wp-content/uploads/sites/2/2026/03/annualreport-facc-2025-en.pdf","B","部分可量化","false"
"eu_funds_delay_project_hr-peljesac-bridge-crbc","eu_funds_delay","croatia","project","hr-peljesac-bridge-crbc","CRBC Peljesac 大桥建设合同","contextual","官方政府部门","https://mmpi.gov.hr/news-6989/minister-says-work-on-peljesac-bridge-proceeding-as-planned/22439","A","可量化","false"
