scenario_id,country_slug,model_id,model_name,shock_value,baseline_score,confidence_decomposition,baseline_date,model_version,formula_version,calculation_date,calculation_timestamp,input_observation_ids,transmission_chain,limitations,interpretation_boundary,status,scenario_score,score_change,confidence,adjusted_input,unavailable_reason
"energy_price_shock","czechia","industrial_dependency","产业依赖指数","20","66.2","{""baseline_data_completeness"":100,""model_eligibility"":100,""direct_transmission_coverage"":33,""regional_context_coverage"":100,""project_event_evidence_quality"":83,""aggregate"":85,""label"":""high""}","2024","v0.70.0","v0.90.0","2026-08-15","2026-08-15T00:00:00Z","[""v4:czechia:manufacturing_share_gdp:2024"",""v4:czechia:automotive_export_share:2024"",""transmission:czechia:germany_export_dependence:2024"",""transmission:czechia:industrial_electricity_price:2024""]","[""工业电价基线"",""能源价格涨幅假设"",""调整后工业电价"",""产业依赖模型重算"",""情景差值""]","[""能源进口依赖是结构指标，未被当作能源价格输入。"",""该情景只调整工业电价，不估计企业对冲、补贴、合同期限或向终端价格的传导。""]","情景结果是基于用户假设的条件式比较，不是预测、风险真值或未来事实。","available","68.5","2.3","low","{""indicator_id"":""industrial_electricity_price"",""indicator_name"":""工业电价"",""observation_id"":""transmission:czechia:industrial_electricity_price:2024"",""year"":2024,""baseline_value"":0.2293,""shock_value"":20,""adjusted_value"":0.275,""unit"":""欧元/kWh"",""normalized_baseline"":43.1,""normalized_adjusted"":58.3,""weight"":0.15,""source_name"":""Eurostat nrg_pc_205"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205?lang=en&freq=S&currency=EUR&nrg_cons=MWH500-1999&unit=KWH&tax=I_TAX&geo=CZ&sinceTimePeriod=2024-S1&untilTimePeriod=2024-S1"",""source_reliability"":""A""}",
"germany_demand_slowdown","czechia","industrial_dependency","产业依赖指数","-5","66.2","{""baseline_data_completeness"":100,""model_eligibility"":100,""direct_transmission_coverage"":100,""regional_context_coverage"":100,""project_event_evidence_quality"":83,""aggregate"":98,""label"":""high""}","2024","v0.70.0","v0.90.0","2026-08-15","2026-08-15T00:00:00Z","[""v4:czechia:manufacturing_share_gdp:2024"",""v4:czechia:automotive_export_share:2024"",""transmission:czechia:germany_export_dependence:2024"",""transmission:czechia:industrial_electricity_price:2024""]","[""对德国出口依赖基线"",""德国需求降幅假设"",""压力调整后德国暴露"",""产业依赖模型重算"",""情景差值""]","[""对德国出口依赖来自双边货物出口占比，不以总出口规模替代。"",""压力暴露增量是公开的算术假设，不是估计的贸易弹性、产出损失或 GDP 预测。""]","情景结果是基于用户假设的条件式比较，不是预测、风险真值或未来事实。","available","67.8","1.6","low","{""indicator_id"":""germany_export_dependence"",""indicator_name"":""对德国出口依赖"",""observation_id"":""transmission:czechia:germany_export_dependence:2024"",""year"":2024,""baseline_value"":32.211,""shock_value"":-5,""adjusted_value"":33.822,""unit"":""% exports"",""normalized_baseline"":74,""normalized_adjusted"":79.4,""weight"":0.3,""source_name"":""UN Comtrade"",""source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=203&cmdCode=TOTAL&flowCode=X&partnerCode=276&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""source_reliability"":""A""}",
"inflation_resurgence","slovakia","household_economic_pressure","居民经济压力指数","2","38","{""baseline_data_completeness"":100,""model_eligibility"":100,""direct_transmission_coverage"":100,""regional_context_coverage"":100,""project_event_evidence_quality"":0,""aggregate"":90,""label"":""high""}","2025","v0.50.0","v0.90.0","2026-08-15","2026-08-15T00:00:00Z","[""macro:slovakia:hicp_inflation:2025"",""macro:slovakia:unemployment_rate:2025""]","[""基线 HICP"",""通胀冲击假设"",""调整后 HICP"",""居民经济压力模型重算"",""情景差值""]","[""冲击幅度由用户设定，不是平台对未来通胀的预测。"",""模型暂未纳入实际工资、住房成本和居民能源账单。""]","情景结果是基于用户假设的条件式比较，不是预测、风险真值或未来事实。","available","48","10","medium","{""indicator_id"":""hicp_inflation"",""indicator_name"":""CPI / HICP 通胀率"",""observation_id"":""macro:slovakia:hicp_inflation:2025"",""year"":2025,""baseline_value"":4.2,""shock_value"":2,""adjusted_value"":6.2,""unit"":""%"",""normalized_baseline"":42,""normalized_adjusted"":62,""weight"":0.5,""source_name"":""Eurostat prc_hicp_aind / DATAcube Slovakia"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/prc_hicp_aind?time=2025&geo=SK&coicop=CP00&unit=RCH_A_AVG"",""source_reliability"":""A""}",
"eu_funds_delay","slovakia","fiscal_pressure","财政压力指数","1","48.4","{""baseline_data_completeness"":100,""model_eligibility"":100,""direct_transmission_coverage"":100,""regional_context_coverage"":100,""project_event_evidence_quality"":100,""aggregate"":100,""label"":""high""}","2025","v0.50.0","v0.90.0","2026-08-15","2026-08-15T00:00:00Z","[""v4:slovakia:fiscal_balance_gdp:2025"",""v4:slovakia:government_debt_gdp:2025""]","[""基线财政余额/GDP"",""欧盟资金延迟假设"",""财政余额恶化幅度"",""财政压力模型重算"",""情景差值""]","[""平台没有估计欧盟资金延迟与财政余额之间的经验系数；财政余额变化完全由用户设定。"",""该情景不改变债务、融资成本或实际拨款观测值。""]","情景结果是基于用户假设的条件式比较，不是预测、风险真值或未来事实。","available","53.4","5","low","{""indicator_id"":""fiscal_balance_gdp"",""indicator_name"":""财政赤字/GDP"",""observation_id"":""v4:slovakia:fiscal_balance_gdp:2025"",""year"":2025,""baseline_value"":-4.5,""shock_value"":-1,""adjusted_value"":-5.5,""unit"":""% GDP"",""normalized_baseline"":45,""normalized_adjusted"":55,""weight"":0.5,""source_name"":""Eurostat"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?lang=en&freq=A&unit=PC_GDP&sector=S13&na_item=B9&geo=SK&sinceTimePeriod=2025&untilTimePeriod=2025"",""source_reliability"":""A""}",
"energy_price_shock","slovakia","industrial_dependency","产业依赖指数","20","55.2","{""baseline_data_completeness"":100,""model_eligibility"":100,""direct_transmission_coverage"":33,""regional_context_coverage"":100,""project_event_evidence_quality"":100,""aggregate"":87,""label"":""high""}","2024","v0.70.0","v0.90.0","2026-08-15","2026-08-15T00:00:00Z","[""v4:slovakia:manufacturing_share_gdp:2024"",""v4:slovakia:automotive_export_share:2024"",""transmission:slovakia:germany_export_dependence:2024"",""transmission:slovakia:industrial_electricity_price:2024""]","[""工业电价基线"",""能源价格涨幅假设"",""调整后工业电价"",""产业依赖模型重算"",""情景差值""]","[""能源进口依赖是结构指标，未被当作能源价格输入。"",""该情景只调整工业电价，不估计企业对冲、补贴、合同期限或向终端价格的传导。""]","情景结果是基于用户假设的条件式比较，不是预测、风险真值或未来事实。","available","57.6","2.4","low","{""indicator_id"":""industrial_electricity_price"",""indicator_name"":""工业电价"",""observation_id"":""transmission:slovakia:industrial_electricity_price:2024"",""year"":2024,""baseline_value"":0.23665,""shock_value"":20,""adjusted_value"":0.284,""unit"":""欧元/kWh"",""normalized_baseline"":45.5,""normalized_adjusted"":61.3,""weight"":0.15,""source_name"":""Eurostat nrg_pc_205"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205?lang=en&freq=S&currency=EUR&nrg_cons=MWH500-1999&unit=KWH&tax=I_TAX&geo=SK&sinceTimePeriod=2024-S1&untilTimePeriod=2024-S1"",""source_reliability"":""A""}",
"germany_demand_slowdown","slovakia","industrial_dependency","产业依赖指数","-5","55.2","{""baseline_data_completeness"":100,""model_eligibility"":100,""direct_transmission_coverage"":100,""regional_context_coverage"":100,""project_event_evidence_quality"":100,""aggregate"":100,""label"":""high""}","2024","v0.70.0","v0.90.0","2026-08-15","2026-08-15T00:00:00Z","[""v4:slovakia:manufacturing_share_gdp:2024"",""v4:slovakia:automotive_export_share:2024"",""transmission:slovakia:germany_export_dependence:2024"",""transmission:slovakia:industrial_electricity_price:2024""]","[""对德国出口依赖基线"",""德国需求降幅假设"",""压力调整后德国暴露"",""产业依赖模型重算"",""情景差值""]","[""对德国出口依赖来自双边货物出口占比，不以总出口规模替代。"",""压力暴露增量是公开的算术假设，不是估计的贸易弹性、产出损失或 GDP 预测。""]","情景结果是基于用户假设的条件式比较，不是预测、风险真值或未来事实。","available","56.3","1.1","low","{""indicator_id"":""germany_export_dependence"",""indicator_name"":""对德国出口依赖"",""observation_id"":""transmission:slovakia:germany_export_dependence:2024"",""year"":2024,""baseline_value"":21.398,""shock_value"":-5,""adjusted_value"":22.468,""unit"":""% exports"",""normalized_baseline"":38,""normalized_adjusted"":41.6,""weight"":0.3,""source_name"":""UN Comtrade"",""source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=703&cmdCode=TOTAL&flowCode=X&partnerCode=276&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""source_reliability"":""A""}",
"inflation_resurgence","germany","household_economic_pressure","居民经济压力指数","2","20.5","{""baseline_data_completeness"":100,""model_eligibility"":100,""direct_transmission_coverage"":100,""regional_context_coverage"":100,""project_event_evidence_quality"":0,""aggregate"":90,""label"":""high""}","2025","v0.50.0","v0.90.0","2026-08-15","2026-08-15T00:00:00Z","[""macro:germany:hicp_inflation:2025"",""macro:germany:unemployment_rate:2025""]","[""基线 HICP"",""通胀冲击假设"",""调整后 HICP"",""居民经济压力模型重算"",""情景差值""]","[""冲击幅度由用户设定，不是平台对未来通胀的预测。"",""模型暂未纳入实际工资、住房成本和居民能源账单。""]","情景结果是基于用户假设的条件式比较，不是预测、风险真值或未来事实。","available","30.5","10","medium","{""indicator_id"":""hicp_inflation"",""indicator_name"":""CPI / HICP 通胀率"",""observation_id"":""macro:germany:hicp_inflation:2025"",""year"":2025,""baseline_value"":2.3,""shock_value"":2,""adjusted_value"":4.3,""unit"":""%"",""normalized_baseline"":23,""normalized_adjusted"":43,""weight"":0.5,""source_name"":""Eurostat prc_hicp_aind / Destatis GENESIS-Online"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/prc_hicp_aind?time=2025&geo=DE&coicop=CP00&unit=RCH_A_AVG"",""source_reliability"":""A""}",
"eu_funds_delay","germany","fiscal_pressure","财政压力指数","1","40.7","{""baseline_data_completeness"":100,""model_eligibility"":100,""direct_transmission_coverage"":100,""regional_context_coverage"":100,""project_event_evidence_quality"":0,""aggregate"":90,""label"":""high""}","2025","v0.50.0","v0.90.0","2026-08-15","2026-08-15T00:00:00Z","[""parity:germany:fiscal_balance_gdp:2025"",""parity:germany:government_debt_gdp:2025""]","[""基线财政余额/GDP"",""欧盟资金延迟假设"",""财政余额恶化幅度"",""财政压力模型重算"",""情景差值""]","[""平台没有估计欧盟资金延迟与财政余额之间的经验系数；财政余额变化完全由用户设定。"",""该情景不改变债务、融资成本或实际拨款观测值。""]","情景结果是基于用户假设的条件式比较，不是预测、风险真值或未来事实。","available","45.7","5","low","{""indicator_id"":""fiscal_balance_gdp"",""indicator_name"":""财政赤字/GDP"",""observation_id"":""parity:germany:fiscal_balance_gdp:2025"",""year"":2025,""baseline_value"":-2.7,""shock_value"":-1,""adjusted_value"":-3.7,""unit"":""% GDP"",""normalized_baseline"":27,""normalized_adjusted"":37,""weight"":0.5,""source_name"":""Eurostat"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?lang=en&freq=A&unit=PC_GDP&sector=S13&na_item=B9&geo=DE&sinceTimePeriod=2025&untilTimePeriod=2025"",""source_reliability"":""A""}",
"energy_price_shock","germany","industrial_dependency","产业依赖指数","20",,"{""baseline_data_completeness"":25,""model_eligibility"":0,""direct_transmission_coverage"":0,""regional_context_coverage"":100,""project_event_evidence_quality"":80,""aggregate"":27,""label"":""low""}","2025","v0.70.0","v0.90.0","2026-08-15","2026-08-15T00:00:00Z","[""parity:germany:manufacturing_share_gdp:2025""]","[""工业电价基线"",""能源价格涨幅假设"",""调整后工业电价"",""产业依赖模型重算"",""情景差值""]","[""能源进口依赖是结构指标，未被当作能源价格输入。"",""该情景只调整工业电价，不估计企业对冲、补贴、合同期限或向终端价格的传导。""]","情景结果是基于用户假设的条件式比较，不是预测、风险真值或未来事实。","unavailable",,,"not_available",,"该国基线模型输入不足，不能输出情景分数。"
"germany_demand_slowdown","germany","industrial_dependency","产业依赖指数","-5",,"{""baseline_data_completeness"":25,""model_eligibility"":0,""direct_transmission_coverage"":0,""regional_context_coverage"":100,""project_event_evidence_quality"":80,""aggregate"":27,""label"":""low""}","2025","v0.70.0","v0.90.0","2026-08-15","2026-08-15T00:00:00Z","[""parity:germany:manufacturing_share_gdp:2025""]","[""对德国出口依赖基线"",""德国需求降幅假设"",""压力调整后德国暴露"",""产业依赖模型重算"",""情景差值""]","[""对德国出口依赖来自双边货物出口占比，不以总出口规模替代。"",""压力暴露增量是公开的算术假设，不是估计的贸易弹性、产出损失或 GDP 预测。""]","情景结果是基于用户假设的条件式比较，不是预测、风险真值或未来事实。","unavailable",,,"not_available",,"该国基线模型输入不足，不能输出情景分数。"
